1Title,None,None,None,None,None,None,None,None,None,None
4_competency/discomfor_17,4,2,1,5,1,6,2,1,1,1
4_competency/discomfor_18,1,2,1,6,1,8,2,1,1,1
4_Safety_1,2,3,5,2,3,1,5,3,3,4
4_Safety_2,3,3,1,4,2,4,1,3,3,2
4_Safety_3,4,3,1,3,2,4,1,1,3,2
5_competency/discomfor_1,5,4,1,5,5,2,2,1,4,6
5_competency/discomfor_2,5,4,1,6,5,2,2,1,4,3
5_competency/discomfor_3,5,4,1,5,5,1,2,1,5,3
5_competency/discomfor_4,5,4,1,4,5,3,2,1,4,5
5_competency/discomfor_5,5,4,1,4,5,2,2,1,6,3
5_competency/discomfor_6,5,4,1,5,5,1,2,1,6,3
5_competency/discomfor_7,5,6,9,6,7,6,2,7,5,8
5_competency/discomfor_8,5,7,8,6,8,7,2,7,4,8
5_competency/discomfor_9,5,6,8,6,7,7,2,7,4,8
5_competency/discomfor_10,5,7,9,6,7,6,2,7,5,8
5_competency/discomfor_11,5,6,8,5,5,6,2,7,4,7
5_competency/discomfor_12,5,6,5,5,5,3,2,1,4,6
5_competency/discomfor_13,5,5,1,4,4,3,2,1,1,1
5_competency/discomfor_14,8,5,1,5,6,5,2,1,1,1
5_competency/discomfor_15,8,5,1,5,6,4,2,7,4,1
5_competency/discomfor_16,5,4,1,4,3,4,2,1,1,1
5_competency/discomfor_17,5,4,1,3,1,3,2,1,5,1
5_competency/discomfor_18,5,3,1,4,1,3,2,1,5,1
5_Safety_1,1,4,4,4,3,5,5,3,3,4
5_Safety_2,5,2,1,2,2,2,1,3,3,2
5_Safety_3,1,1,1,2,2,2,1,1,3,2
6_competency/discomfor_1,3,3,5,3,5,2,2,1,3,5
6_competency/discomfor_2,1,4,5,3,5,1,2,1,3,4
6_competency/discomfor_3,1,3,1,2,5,1,2,1,3,3
6_competency/discomfor_4,1,4,1,2,5,1,2,1,3,4
6_competency/discomfor_5,1,3,1,3,5,2,2,1,3,3
6_competency/discomfor_6,1,3,1,2,5,1,2,1,3,3
6_competency/discomfor_7,5,6,9,4,7,5,2,7,4,9
6_competency/discomfor_8,5,6,9,3,7,6,2,7,4,9
6_competency/discomfor_9,5,6,9,3,7,6,2,7,5,9
6_competency/discomfor_10,5,6,9,4,7,6,2,7,4,9
6_competency/discomfor_11,5,6,9,3,5,5,2,7,5,8
6_competency/discomfor_12,1,6,5,4,5,1,2,1,5,7
6_competency/discomfor_13,1,3,1,7,4,4,2,1,3,1
6_competency/discomfor_14,8,3,1,7,6,7,2,1,3,1
6_competency/discomfor_15,9,4,1,7,6,9,2,7,7,1
6_competency/discomfor_16,5,3,1,6,3,4,2,1,3,1
6_competency/discomfor_17,5,3,1,6,1,2,2,1,5,1
6_competency/discomfor_18,1,3,1,7,1,2,2,1,3,1
6_Safety_1,2,3,4,2,3,3,5,3,3,4
6_Safety_2,5,3,1,4,2,4,1,3,3,2
6_Safety_3,3,3,1,3,2,4,1,1,3,2
7_competency/discomfor_1,5,2,1,4,5,4,6,1,1,6
